Match Number,Round Number,Date,Location,Home Team,Away Team,Result
577,7,10/05/2024 18:10,Citi Field,New York Mets,Atlanta Braves,
578,7,10/05/2024 18:10,loanDepot park,Miami Marlins,Philadelphia Phillies,
579,7,10/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,
580,7,10/05/2024 19:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,
581,7,10/05/2024 19:40,Coors Field,Colorado Rockies,Texas Rangers,
582,7,10/05/2024 20:38,Angel Stadium,Los Angeles Angels,Kansas City Royals,
583,7,10/05/2024 20:40,Petco Park,San Diego Padres,Los Angeles Dodgers,
584,7,10/05/2024 20:40,T-Mobile Park,Seattle Mariners,Oakland Athletics,
585,7,10/05/2024 21:15,Oracle Park,San Francisco Giants,Cincinnati Reds,
586,7,11/05/2024 14:07,Rogers Centre,Toronto Blue Jays,Minnesota Twins,
587,7,11/05/2024 15:05,Oriole Park at Camden Yards,Baltimore Orioles,Arizona Diamondbacks,
588,7,11/05/2024 15:05,PNC Park,Pittsburgh Pirates,Chicago Cubs,
589,7,11/05/2024 15:10,Fenway Park,Boston Red Sox,Washington Nationals,
590,7,11/05/2024 15:10,Citi Field,New York Mets,Atlanta Braves,
591,7,11/05/2024 15:10,loanDepot park,Miami Marlins,Philadelphia Phillies,
592,7,11/05/2024 15:10,Tropicana Field,Tampa Bay Rays,New York Yankees,
593,7,11/05/2024 17:10,Comerica Park,Detroit Tigers,Houston Astros,
594,7,11/05/2024 18:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,
595,7,11/05/2024 18:15,Oracle Park,San Francisco Giants,Cincinnati Reds,
596,7,11/05/2024 18:15,American Family Field,Milwaukee Brewers,St. Louis Cardinals,
597,7,11/05/2024 19:10,Coors Field,Colorado Rockies,Texas Rangers,
598,7,11/05/2024 19:40,Petco Park,San Diego Padres,Los Angeles Dodgers,
599,7,11/05/2024 20:38,Angel Stadium,Los Angeles Angels,Kansas City Royals,
600,7,11/05/2024 20:40,T-Mobile Park,Seattle Mariners,Oakland Athletics,
601,7,12/05/2024 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Arizona Diamondbacks,
602,7,12/05/2024 12:35,Fenway Park,Boston Red Sox,Washington Nationals,
603,7,12/05/2024 12:35,PNC Park,Pittsburgh Pirates,Chicago Cubs,
604,7,12/05/2024 12:37,Rogers Centre,Toronto Blue Jays,Minnesota Twins,
605,7,12/05/2024 12:40,Comerica Park,Detroit Tigers,Houston Astros,
606,7,12/05/2024 12:40,loanDepot park,Miami Marlins,Philadelphia Phillies,
607,7,12/05/2024 12:40,Tropicana Field,Tampa Bay Rays,New York Yankees,
608,7,12/05/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,
609,7,12/05/2024 13:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,
610,7,12/05/2024 14:10,Coors Field,Colorado Rockies,Texas Rangers,
611,7,12/05/2024 15:05,Oracle Park,San Francisco Giants,Cincinnati Reds,
612,7,12/05/2024 15:07,Angel Stadium,Los Angeles Angels,Kansas City Royals,
613,7,12/05/2024 15:10,Petco Park,San Diego Padres,Los Angeles Dodgers,
614,7,12/05/2024 15:10,T-Mobile Park,Seattle Mariners,Oakland Athletics,
615,7,12/05/2024 18:10,Citi Field,New York Mets,Atlanta Braves,
616,7,13/05/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,
617,7,13/05/2024 17:40,Comerica Park,Detroit Tigers,Miami Marlins,
618,7,13/05/2024 18:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,
619,7,13/05/2024 18:10,Citi Field,New York Mets,Philadelphia Phillies,
620,7,13/05/2024 18:20,Truist Park,Atlanta Braves,Chicago Cubs,
621,7,13/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Washington Nationals,
622,7,13/05/2024 18:40,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,
623,7,13/05/2024 19:05,Globe Life Field,Texas Rangers,Cleveland Guardians,
624,7,13/05/2024 19:10,Minute Maid Park,Houston Astros,Oakland Athletics,
625,7,13/05/2024 20:38,Angel Stadium,Los Angeles Angels,St. Louis Cardinals,
626,7,13/05/2024 20:40,Chase Field,Arizona Diamondbacks,Cincinnati Reds,
627,7,13/05/2024 20:40,Petco Park,San Diego Padres,Colorado Rockies,
628,7,13/05/2024 20:40,T-Mobile Park,Seattle Mariners,Kansas City Royals,
629,7,13/05/2024 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,
630,7,14/05/2024 12:10,Citi Field,New York Mets,Philadelphia Phillies,
631,7,14/05/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,
632,7,14/05/2024 17:40,Comerica Park,Detroit Tigers,Miami Marlins,
633,7,14/05/2024 18:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,
634,7,14/05/2024 18:20,Truist Park,Atlanta Braves,Chicago Cubs,
635,7,14/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Washington Nationals,
636,7,14/05/2024 18:40,Target Field,Minnesota Twins,New York Yankees,
637,7,14/05/2024 18:40,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,
638,7,14/05/2024 19:05,Globe Life Field,Texas Rangers,Cleveland Guardians,
639,7,14/05/2024 19:10,Minute Maid Park,Houston Astros,Oakland Athletics,
640,7,14/05/2024 20:38,Angel Stadium,Los Angeles Angels,St. Louis Cardinals,
641,7,14/05/2024 20:40,Chase Field,Arizona Diamondbacks,Cincinnati Reds,
642,7,14/05/2024 20:40,Petco Park,San Diego Padres,Colorado Rockies,
643,7,14/05/2024 20:40,T-Mobile Park,Seattle Mariners,Kansas City Royals,
644,7,14/05/2024 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,
645,8,15/05/2024 11:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,
646,8,15/05/2024 12:10,Comerica Park,Detroit Tigers,Miami Marlins,
647,8,15/05/2024 12:10,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,
648,8,15/05/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Washington Nationals,
649,8,15/05/2024 14:40,Chase Field,Arizona Diamondbacks,Cincinnati Reds,
650,8,15/05/2024 15:10,Petco Park,San Diego Padres,Colorado Rockies,
651,8,15/05/2024 15:10,T-Mobile Park,Seattle Mariners,Kansas City Royals,
652,8,15/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,New York Mets,
653,8,15/05/2024 18:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,
654,8,15/05/2024 18:20,Truist Park,Atlanta Braves,Chicago Cubs,
655,8,15/05/2024 18:40,Target Field,Minnesota Twins,New York Yankees,
656,8,15/05/2024 19:05,Globe Life Field,Texas Rangers,Cleveland Guardians,
657,8,15/05/2024 19:10,Minute Maid Park,Houston Astros,Oakland Athletics,
658,8,15/05/2024 20:07,Angel Stadium,Los Angeles Angels,St. Louis Cardinals,
659,8,15/05/2024 20:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,
660,8,16/05/2024 12:10,Target Field,Minnesota Twins,New York Yankees,
661,8,16/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,New York Mets,
662,8,16/05/2024 18:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,
663,8,16/05/2024 18:40,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,
664,8,16/05/2024 19:10,Minute Maid Park,Houston Astros,Oakland Athletics,
665,8,16/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Cincinnati Reds,
666,8,17/05/2024 13:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,
667,8,17/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,
668,8,17/05/2024 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,
669,8,17/05/2024 18:05,Yankee Stadium,New York Yankees,Chicago White Sox,
670,8,17/05/2024 18:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,
671,8,17/05/2024 18:10,Progressive Field,Cleveland Guardians,Minnesota Twins,
672,8,17/05/2024 18:10,loanDepot park,Miami Marlins,New York Mets,
673,8,17/05/2024 18:20,Truist Park,Atlanta Braves,San Diego Padres,
674,8,17/05/2024 18:40,Kauffman Stadium,Kansas City Royals,Oakland Athletics,
675,8,17/05/2024 19:05,Globe Life Field,Texas Rangers,Los Angeles Angels,
676,8,17/05/2024 19:10,Minute Maid Park,Houston Astros,Milwaukee Brewers,
677,8,17/05/2024 19:15,Busch Stadium,St. Louis Cardinals,Boston Red Sox,
678,8,17/05/2024 20:40,Chase Field,Arizona Diamondbacks,Detroit Tigers,
679,8,17/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Cincinnati Reds,
680,8,17/05/2024 21:15,Oracle Park,San Francisco Giants,Colorado Rockies,
681,8,18/05/2024 12:05,Yankee Stadium,New York Yankees,Chicago White Sox,
682,8,18/05/2024 13:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,
683,8,18/05/2024 14:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,
684,8,18/05/2024 15:05,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,
685,8,18/05/2024 15:05,Oracle Park,San Francisco Giants,Colorado Rockies,
686,8,18/05/2024 15:10,loanDepot park,Miami Marlins,New York Mets,
687,8,18/05/2024 17:05,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,
688,8,18/05/2024 17:10,Progressive Field,Cleveland Guardians,Minnesota Twins,
689,8,18/05/2024 18:10,Kauffman Stadium,Kansas City Royals,Oakland Athletics,
690,8,18/05/2024 18:10,Minute Maid Park,Houston Astros,Milwaukee Brewers,
691,8,18/05/2024 18:15,Busch Stadium,St. Louis Cardinals,Boston Red Sox,
692,8,18/05/2024 18:15,Globe Life Field,Texas Rangers,Los Angeles Angels,
693,8,18/05/2024 18:15,Truist Park,Atlanta Braves,San Diego Padres,
694,8,18/05/2024 19:10,Chase Field,Arizona Diamondbacks,Detroit Tigers,
695,8,18/05/2024 20:10,Dodger Stadium,Los Angeles Dodgers,Cincinnati Reds,
696,8,19/05/2024 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,
697,8,19/05/2024 12:35,Citizens Bank Park,Philadelphia Phillies,Washington Nationals,
698,8,19/05/2024 12:35,Yankee Stadium,New York Yankees,Chicago White Sox,
699,8,19/05/2024 12:37,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,
700,8,19/05/2024 12:40,Progressive Field,Cleveland Guardians,Minnesota Twins,
701,8,19/05/2024 12:40,loanDepot park,Miami Marlins,New York Mets,
702,8,19/05/2024 13:10,Kauffman Stadium,Kansas City Royals,Oakland Athletics,
703,8,19/05/2024 13:10,Minute Maid Park,Houston Astros,Milwaukee Brewers,
704,8,19/05/2024 13:15,Busch Stadium,St. Louis Cardinals,Boston Red Sox,
705,8,19/05/2024 13:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,
706,8,19/05/2024 13:35,Globe Life Field,Texas Rangers,Los Angeles Angels,
707,8,19/05/2024 15:05,Oracle Park,San Francisco Giants,Colorado Rockies,
708,8,19/05/2024 15:10,Chase Field,Arizona Diamondbacks,Detroit Tigers,
709,8,19/05/2024 15:10,Dodger Stadium,Los Angeles Dodgers,Cincinnati Reds,
710,8,19/05/2024 18:10,Truist Park,Atlanta Braves,San Diego Padres,
711,8,20/05/2024 11:20,Truist Park,Atlanta Braves,San Diego Padres,
712,8,20/05/2024 14:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,
713,8,20/05/2024 17:10,Progressive Field,Cleveland Guardians,New York Mets,
714,8,20/05/2024 17:40,loanDepot park,Miami Marlins,Milwaukee Brewers,
715,8,20/05/2024 17:45,Nationals Park,Washington Nationals,Minnesota Twins,
716,8,20/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Boston Red Sox,
717,8,20/05/2024 18:05,Yankee Stadium,New York Yankees,Seattle Mariners,
718,8,20/05/2024 18:40,Kauffman Stadium,Kansas City Royals,Detroit Tigers,
719,8,20/05/2024 18:45,Busch Stadium,St. Louis Cardinals,Baltimore Orioles,
720,8,20/05/2024 19:10,Minute Maid Park,Houston Astros,Los Angeles Angels,
721,8,20/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,
722,8,21/05/2024 17:10,Progressive Field,Cleveland Guardians,New York Mets,
723,8,21/05/2024 17:40,Great American Ball Park,Cincinnati Reds,San Diego Padres,
724,8,21/05/2024 17:40,PNC Park,Pittsburgh Pirates,San Francisco Giants,
725,8,21/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,
726,8,21/05/2024 17:40,loanDepot park,Miami Marlins,Milwaukee Brewers,
727,8,21/05/2024 17:45,Nationals Park,Washington Nationals,Minnesota Twins,
728,8,21/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Boston Red Sox,
729,8,21/05/2024 18:05,Yankee Stadium,New York Yankees,Seattle Mariners,
730,8,21/05/2024 18:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,
731,8,21/05/2024 18:40,Kauffman Stadium,Kansas City Royals,Detroit Tigers,
732,8,21/05/2024 18:40,Wrigley Field,Chicago Cubs,Atlanta Braves,
733,8,21/05/2024 18:45,Busch Stadium,St. Louis Cardinals,Baltimore Orioles,
734,8,21/05/2024 19:10,Minute Maid Park,Houston Astros,Los Angeles Angels,
735,8,21/05/2024 20:40,Oakland Coliseum,Oakland Athletics,Colorado Rockies,
736,8,21/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,
737,9,22/05/2024 12:05,Nationals Park,Washington Nationals,Minnesota Twins,
738,9,22/05/2024 12:10,Progressive Field,Cleveland Guardians,New York Mets,
739,9,22/05/2024 12:15,Busch Stadium,St. Louis Cardinals,Baltimore Orioles,
740,9,22/05/2024 13:10,Minute Maid Park,Houston Astros,Los Angeles Angels,
741,9,22/05/2024 13:10,Kauffman Stadium,Kansas City Royals,Detroit Tigers,
742,9,22/05/2024 17:40,Great American Ball Park,Cincinnati Reds,San Diego Padres,
743,9,22/05/2024 17:40,PNC Park,Pittsburgh Pirates,San Francisco Giants,
744,9,22/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,
745,9,22/05/2024 17:40,loanDepot park,Miami Marlins,Milwaukee Brewers,
746,9,22/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Boston Red Sox,
747,9,22/05/2024 18:05,Yankee Stadium,New York Yankees,Seattle Mariners,
748,9,22/05/2024 18:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,
749,9,22/05/2024 18:40,Wrigley Field,Chicago Cubs,Atlanta Braves,
750,9,22/05/2024 20:40,Oakland Coliseum,Oakland Athletics,Colorado Rockies,
751,9,22/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,
752,9,23/05/2024 11:35,PNC Park,Pittsburgh Pirates,San Francisco Giants,
753,9,23/05/2024 11:35,Yankee Stadium,New York Yankees,Seattle Mariners,
754,9,23/05/2024 12:05,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,
755,9,23/05/2024 12:10,Great American Ball Park,Cincinnati Reds,San Diego Padres,
756,9,23/05/2024 13:20,Wrigley Field,Chicago Cubs,Atlanta Braves,
757,9,23/05/2024 14:37,Oakland Coliseum,Oakland Athletics,Colorado Rockies,
758,9,23/05/2024 17:40,Comerica Park,Detroit Tigers,Toronto Blue Jays,
759,9,23/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,
760,9,24/05/2024 17:40,Comerica Park,Detroit Tigers,Toronto Blue Jays,
761,9,24/05/2024 17:40,PNC Park,Pittsburgh Pirates,Atlanta Braves,
762,9,24/05/2024 17:45,Nationals Park,Washington Nationals,Seattle Mariners,
763,9,24/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Kansas City Royals,
764,9,24/05/2024 18:10,Great American Ball Park,Cincinnati Reds,Los Angeles Dodgers,
765,9,24/05/2024 18:10,Citi Field,New York Mets,San Francisco Giants,
766,9,24/05/2024 18:10,Fenway Park,Boston Red Sox,Milwaukee Brewers,
767,9,24/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,
768,9,24/05/2024 19:10,Target Field,Minnesota Twins,Texas Rangers,
769,9,24/05/2024 19:15,Busch Stadium,St. Louis Cardinals,Chicago Cubs,
770,9,24/05/2024 19:40,Coors Field,Colorado Rockies,Philadelphia Phillies,
771,9,24/05/2024 20:38,Angel Stadium,Los Angeles Angels,Cleveland Guardians,
772,9,24/05/2024 20:40,Oakland Coliseum,Oakland Athletics,Houston Astros,
773,9,24/05/2024 20:40,Chase Field,Arizona Diamondbacks,Miami Marlins,
774,9,24/05/2024 20:40,Petco Park,San Diego Padres,New York Yankees,
775,9,25/05/2024 12:10,Comerica Park,Detroit Tigers,Toronto Blue Jays,
776,9,25/05/2024 12:40,Citi Field,New York Mets,San Francisco Giants,
777,9,25/05/2024 13:10,Target Field,Minnesota Twins,Texas Rangers,
778,9,25/05/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,
779,9,25/05/2024 15:05,Nationals Park,Washington Nationals,Seattle Mariners,
780,9,25/05/2024 15:05,PNC Park,Pittsburgh Pirates,Atlanta Braves,
781,9,25/05/2024 15:07,Oakland Coliseum,Oakland Athletics,Houston Astros,
782,9,25/05/2024 15:10,Tropicana Field,Tampa Bay Rays,Kansas City Royals,
783,9,25/05/2024 15:10,Fenway Park,Boston Red Sox,Milwaukee Brewers,
784,9,25/05/2024 18:15,Great American Ball Park,Cincinnati Reds,Los Angeles Dodgers,
785,9,25/05/2024 18:15,Busch Stadium,St. Louis Cardinals,Chicago Cubs,
786,9,25/05/2024 20:10,Coors Field,Colorado Rockies,Philadelphia Phillies,
787,9,25/05/2024 20:38,Angel Stadium,Los Angeles Angels,Cleveland Guardians,
788,9,25/05/2024 20:40,Petco Park,San Diego Padres,New York Yankees,
789,9,25/05/2024 21:10,Chase Field,Arizona Diamondbacks,Miami Marlins,
790,9,26/05/2024 12:35,Nationals Park,Washington Nationals,Seattle Mariners,
791,9,26/05/2024 12:35,PNC Park,Pittsburgh Pirates,Atlanta Braves,
792,9,26/05/2024 12:35,Fenway Park,Boston Red Sox,Milwaukee Brewers,
793,9,26/05/2024 12:40,Great American Ball Park,Cincinnati Reds,Los Angeles Dodgers,
794,9,26/05/2024 12:40,Citi Field,New York Mets,San Francisco Giants,
795,9,26/05/2024 12:40,Tropicana Field,Tampa Bay Rays,Kansas City Royals,
796,9,26/05/2024 12:40,Comerica Park,Detroit Tigers,Toronto Blue Jays,
797,9,26/05/2024 13:10,Target Field,Minnesota Twins,Texas Rangers,
798,9,26/05/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,
799,9,26/05/2024 14:10,Coors Field,Colorado Rockies,Philadelphia Phillies,
800,9,26/05/2024 15:07,Angel Stadium,Los Angeles Angels,Cleveland Guardians,
801,9,26/05/2024 15:07,Oakland Coliseum,Oakland Athletics,Houston Astros,
802,9,26/05/2024 15:10,Chase Field,Arizona Diamondbacks,Miami Marlins,
803,9,26/05/2024 15:10,Petco Park,San Diego Padres,New York Yankees,
804,9,26/05/2024 18:10,Busch Stadium,St. Louis Cardinals,Chicago Cubs,
805,9,27/05/2024 12:05,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,
806,9,27/05/2024 13:10,Target Field,Minnesota Twins,Kansas City Royals,
807,9,27/05/2024 13:10,Guaranteed Rate Field,Chicago White Sox,Toronto Blue Jays,
808,9,27/05/2024 15:10,Coors Field,Colorado Rockies,Cleveland Guardians,
809,9,27/05/2024 15:10,Citi Field,New York Mets,Los Angeles Dodgers,
810,9,27/05/2024 15:10,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,
811,9,27/05/2024 15:10,Truist Park,Atlanta Braves,Washington Nationals,
812,9,27/05/2024 15:10,American Family Field,Milwaukee Brewers,Chicago Cubs,
813,9,27/05/2024 16:05,Oracle Park,San Francisco Giants,Philadelphia Phillies,
814,9,27/05/2024 17:40,Petco Park,San Diego Padres,Miami Marlins,
815,9,27/05/2024 20:40,T-Mobile Park,Seattle Mariners,Houston Astros,
816,9,28/05/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,
817,9,28/05/2024 17:40,Comerica Park,Detroit Tigers,Pittsburgh Pirates,
818,9,28/05/2024 17:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,
819,9,28/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Oakland Athletics,
820,9,28/05/2024 18:10,Citi Field,New York Mets,Los Angeles Dodgers,
821,9,28/05/2024 18:20,Truist Park,Atlanta Braves,Washington Nationals,
822,9,28/05/2024 18:40,Target Field,Minnesota Twins,Kansas City Royals,
823,9,28/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Toronto Blue Jays,
824,9,28/05/2024 18:40,American Family Field,Milwaukee Brewers,Chicago Cubs,
825,9,28/05/2024 19:05,Globe Life Field,Texas Rangers,Arizona Diamondbacks,
826,9,28/05/2024 19:40,Coors Field,Colorado Rockies,Cleveland Guardians,
827,9,28/05/2024 20:38,Angel Stadium,Los Angeles Angels,New York Yankees,
828,9,28/05/2024 20:40,T-Mobile Park,Seattle Mariners,Houston Astros,
829,9,28/05/2024 20:40,Petco Park,San Diego Padres,Miami Marlins,
830,9,28/05/2024 20:45,Oracle Park,San Francisco Giants,Philadelphia Phillies,
831,10,29/05/2024 12:10,Comerica Park,Detroit Tigers,Pittsburgh Pirates,
832,10,29/05/2024 12:10,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,
833,10,29/05/2024 13:35,Globe Life Field,Texas Rangers,Arizona Diamondbacks,
834,10,29/05/2024 14:45,Oracle Park,San Francisco Giants,Philadelphia Phillies,
835,10,29/05/2024 15:10,Citi Field,New York Mets,Los Angeles Dodgers,
836,10,29/05/2024 15:10,Petco Park,San Diego Padres,Miami Marlins,
837,10,29/05/2024 17:35,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,
838,10,29/05/2024 17:50,Tropicana Field,Tampa Bay Rays,Oakland Athletics,
839,10,29/05/2024 18:20,Truist Park,Atlanta Braves,Washington Nationals,
840,10,29/05/2024 18:40,Target Field,Minnesota Twins,Kansas City Royals,
841,10,29/05/2024 18:40,Guaranteed Rate Field,Chicago White Sox,Toronto Blue Jays,
842,10,29/05/2024 18:40,American Family Field,Milwaukee Brewers,Chicago Cubs,
843,10,29/05/2024 19:40,Coors Field,Colorado Rockies,Cleveland Guardians,
844,10,29/05/2024 20:38,Angel Stadium,Los Angeles Angels,New York Yankees,
845,10,29/05/2024 20:40,T-Mobile Park,Seattle Mariners,Houston Astros,
846,10,30/05/2024 12:10,Tropicana Field,Tampa Bay Rays,Oakland Athletics,
847,10,30/05/2024 12:10,Target Field,Minnesota Twins,Kansas City Royals,
848,10,30/05/2024 12:10,American Family Field,Milwaukee Brewers,Chicago Cubs,
849,10,30/05/2024 15:10,T-Mobile Park,Seattle Mariners,Houston Astros,
850,10,30/05/2024 18:10,Fenway Park,Boston Red Sox,Detroit Tigers,
851,10,30/05/2024 18:10,Citi Field,New York Mets,Arizona Diamondbacks,
852,10,30/05/2024 18:20,Truist Park,Atlanta Braves,Washington Nationals,
853,10,30/05/2024 20:38,Angel Stadium,Los Angeles Angels,New York Yankees,
854,10,31/05/2024 13:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,
855,10,31/05/2024 17:40,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,
856,10,31/05/2024 18:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,
857,10,31/05/2024 18:07,Rogers Centre,Toronto Blue Jays,Pittsburgh Pirates,
858,10,31/05/2024 18:10,Fenway Park,Boston Red Sox,Detroit Tigers,
859,10,31/05/2024 18:10,Progressive Field,Cleveland Guardians,Washington Nationals,
860,10,31/05/2024 18:10,Citi Field,New York Mets,Arizona Diamondbacks,
861,10,31/05/2024 18:10,loanDepot park,Miami Marlins,Texas Rangers,
862,10,31/05/2024 18:20,Truist Park,Atlanta Braves,Oakland Athletics,
863,10,31/05/2024 19:10,Kauffman Stadium,Kansas City Royals,San Diego Padres,
864,10,31/05/2024 19:10,Minute Maid Park,Houston Astros,Minnesota Twins,
865,10,31/05/2024 19:10,American Family Field,Milwaukee Brewers,Chicago White Sox,
866,10,31/05/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,
867,10,31/05/2024 21:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,
868,10,31/05/2024 21:15,Oracle Park,San Francisco Giants,New York Yankees,
869,10,01/06/2024 14:07,Rogers Centre,Toronto Blue Jays,Pittsburgh Pirates,
870,10,01/06/2024 15:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,
871,10,01/06/2024 15:10,Fenway Park,Boston Red Sox,Detroit Tigers,
872,10,01/06/2024 15:10,Progressive Field,Cleveland Guardians,Washington Nationals,
873,10,01/06/2024 15:10,Citi Field,New York Mets,Arizona Diamondbacks,
874,10,01/06/2024 15:10,Kauffman Stadium,Kansas City Royals,San Diego Padres,
875,10,01/06/2024 15:10,Minute Maid Park,Houston Astros,Minnesota Twins,
876,10,01/06/2024 15:10,Truist Park,Atlanta Braves,Oakland Athletics,
877,10,01/06/2024 15:10,loanDepot park,Miami Marlins,Texas Rangers,
878,10,01/06/2024 15:10,American Family Field,Milwaukee Brewers,Chicago White Sox,
879,10,01/06/2024 18:15,Wrigley Field,Chicago Cubs,Cincinnati Reds,
880,10,01/06/2024 18:15,T-Mobile Park,Seattle Mariners,Los Angeles Angels,
881,10,01/06/2024 18:15,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,
882,10,01/06/2024 21:05,Oracle Park,San Francisco Giants,New York Yankees,
883,10,01/06/2024 21:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,
884,10,02/06/2024 12:35,Fenway Park,Boston Red Sox,Detroit Tigers,
885,10,02/06/2024 12:35,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,
886,10,02/06/2024 12:35,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,
887,10,02/06/2024 12:35,Truist Park,Atlanta Braves,Oakland Athletics,
888,10,02/06/2024 12:37,Rogers Centre,Toronto Blue Jays,Pittsburgh Pirates,
889,10,02/06/2024 12:40,Progressive Field,Cleveland Guardians,Washington Nationals,
890,10,02/06/2024 12:40,Citi Field,New York Mets,Arizona Diamondbacks,
891,10,02/06/2024 12:40,loanDepot park,Miami Marlins,Texas Rangers,
892,10,02/06/2024 13:10,Kauffman Stadium,Kansas City Royals,San Diego Padres,
893,10,02/06/2024 13:10,Minute Maid Park,Houston Astros,Minnesota Twins,
894,10,02/06/2024 13:10,American Family Field,Milwaukee Brewers,Chicago White Sox,
895,10,02/06/2024 13:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,
896,10,02/06/2024 15:05,Oracle Park,San Francisco Giants,New York Yankees,
897,10,02/06/2024 15:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,
898,10,02/06/2024 15:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,
899,10,03/06/2024 17:40,Citizens Bank Park,Philadelphia Phillies,Milwaukee Brewers,
900,10,03/06/2024 17:45,Nationals Park,Washington Nationals,New York Mets,
901,10,03/06/2024 18:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,
902,10,03/06/2024 19:05,Globe Life Field,Texas Rangers,Detroit Tigers,
903,10,03/06/2024 19:10,Minute Maid Park,Houston Astros,St. Louis Cardinals,
